Date,Step,Close_pred,Change_pred,Return_pred,Open_pred,High_pred,Low_pred,Volume_pred,TradingValue_pred,MarketCap_pred,SharesOutstanding_pred,MA_20_pred,Volatility_20_pred,Close_MA20_Ratio_pred,Close_actual
2025-05-02,0,55438.1969708514,-39.108349498431764,-0.07662747693747904,55373.836887240526,56044.54357430849,54964.55957432183,14147835.520493664,766487608011.0094,328301630442922.8,5919571525.669006,55362.32693084813,0.02287742783323042,1.0010987715164463,54600
2025-05-07,1,55415.89081633669,-23.130952556975377,-0.01824385648550484,55399.69296427212,56088.69007738438,54912.721073715715,15497995.146823071,845606670438.6306,328160818998769.75,5919541472.198566,55350.75367214149,0.022856184885223032,1.000889094394237,54600
2025-05-08,2,55404.738078785536,-12.392741599973004,0.003952302035746404,55395.522068581064,56098.52675464965,54890.602183724455,16342248.446027678,898572544278.8431,328084101135945.9,5919512126.339524,55340.034374660914,0.022900494258096322,1.0009024845458714,54800
2025-05-09,3,55394.30710205468,-9.86385858615024,0.00929317181615779,55386.24248733501,56100.56725807843,54873.66447062774,16852775.42108369,930956672527.6959,328022843611829.9,5919489141.292725,55328.90765563694,0.022972410872846023,1.0009397173354047,57600
2025-05-12,4,55383.55741086431,-10.30114097296553,0.009155213162068389,55377.537061609786,56098.5061165608,54859.382440571804,17161295.925549135,950449703889.4789,327959301560547.5,5919471623.609163,55317.418006033695,0.023057657869963374,1.0009746616489505,56900
2025-05-13,5,55371.63231049349,-11.673076263416409,0.0072734954809538024,55367.54668627235,56092.373339258396,54845.40380559831,17348544.156468254,962155500205.1373,327887781361953.5,5919457497.026127,55305.45529983048,0.023149011869438078,1.000994689473962,57400
2025-05-14,6,55358.06675860876,-13.43744240359025,0.004669914419404876,55355.725336505275,56082.74151446911,54830.61582784556,17463262.34975302,969186321359.3192,327805870875023.0,5919445530.506559,55292.89835000652,0.023242163068312952,1.000994812988009,57300
2025-05-15,7,55342.67194351395,-15.335938472913352,0.001812587508406259,55341.89602189005,56070.132131469516,54814.48456523071,17534804.418547276,973419203814.2236,327712723158860.8,5919434925.8524,55279.6467792003,0.023334613012247176,1.0009742097321939,56800
2025-05-16,8,55325.42040756988,-17.22767557950443,-0.0010477361953730793,55326.0451755409,56054.956040359,54796.77945650552,17580823.111035936,975983038561.2754,327608346365427.6,5919425141.107481,55265.62002140518,0.023424974541772038,1.0009342404866681,55800
2025-05-19,9,55306.372487116,-19.039404031191165,-0.0037815785007031463,55308.24915274606,56037.5396292566,54777.440884548865,17611894.016057543,977554794889.0898,327493195242955.5,5919415801.172752,55250.755207261966,0.023512524644314935,1.000877295085822,55900
2025-05-20,10,55285.631304777475,-20.737062604373097,-0.006329255423202222,55288.626841100086,56018.14667275372,54756.5016377501,17634314.87722573,978538683855.9766,327367934166426.9,5919406641.318301,55235.0049675146,0.02359693058952425,1.0008061169389006,55700
2025-05-21,11,55263.31687900941,-22.308798334734345,-0.008670469620043468,55267.312821926855,55996.9940366551,54734.04105240156,17651803.84160518,979174524661.4733,327233302585694.0,5919397470.851497,55218.3353145672,0.02367808448451873,1.0007234345938678,54700
2025-05-22,12,55239.55190174868,-23.754823809296145,-0.010806201287348487,55244.44280145936,55974.262736812256,54710.15877337464,17666529.313792795,979603321279.6373,327090041692650.06,5919388149.501396,55200.72368277343,0.02375600431545659,1.000631777230823,54200
2025-05-23,13,55214.45436414778,-25.08146911666756,-0.012748108827585432,55220.14616909211,55950.1058691604,54684.96013894504,17679733.650760658,979906933001.5076,326938857029743.25,5919378571.932831,55182.15716417492,0.023830775355620483,1.0005333956551685,54700
2025-05-26,14,55188.13411750954,-26.29777230945078,-0.014512470219678074,55194.54264088499,55924.65443513686,54658.54839439326,17692110.05605034,980132041074.8435,326780401734300.4,5919368657.482963,55162.630953063075,0.023902515928817487,1.000430241648918,53900
2025-05-27,15,55160.69163911918,-27.413582808809853,-0.016116829409181556,55167.74117692509,55898.02171182012,54631.02086184851,17704029.600862347,980304592205.9016,326615271289399.25,5919358343.265375,55142.14699504738,0.023971357780979665,1.0003239779620716,55900
2025-05-28,16,55132.21798579694,-28.438554987983178,-0.01757823220044393,55139.8401091719,55870.30658955178,54602.467355483794,17715677.344287135,980438469750.4421,326444004404582.8,5919347579.461528,55120.712825835275,0.024037435148499812,1.0002160029440688,56100
2025-05-29,17,55102.79534476045,-29.381657339114756,-0.018912380455953358,55110.9278648896,55841.59616009767,54572.96983070848,17727133.42608834,980540670703.894,326267086908236.56,5919336326.048214,55098.34058007951,0.024100878951435235,1.0001074807991905,56200
2025-05-30,18,55072.497845523685,-30.250973586762584,-0.020133304078248725,55081.08393747518,55811.967749634925,54542.60267594434,17738420.94056847,980614372247.6699,326084956882685.8,5919324550.480569,55075.04614934219,0.024161813963261447,0.9999993725710227,56200
2025-06-02,19,55041.39244690601,-31.05366343507701,-0.021253314108097658,55050.379913909856,55781.490533048134,54511.43330669246,17749533.834834315,980660727871.7979,325898010071963.25,5919312226.021007,55050.84846891785,0.02422035767285584,0.9998924653625396,57800
2025-06-04,20,55009.539801276704,-31.796005630774722,-0.02228309895198171,55018.88045995191,55750.22682752371,54479.52287087284,17760452.85999512,980679902374.084,325706605059522.4,5919299330.512443,55025.76891495198,0.02427662007721962,0.9997873986720478,59100
2025-06-05,21,54976.99504894773,-32.48347896262169,-0.02323188482109144,54986.64421693962,55718.233137230556,54446.92696236515,17771154.430828378,980671653905.6082,325511067981803.44,5919285845.462748,54999.830795387184,0.024330703958627253,0.9996846874890278,59800
2025-06-09,22,54943.80852424683,-33.12085640285176,-0.02410761654351773,54953.724593587525,55685.56100265317,54413.69629081536,17781615.320738222,980635648991.2544,325311696693976.5,5919271755.351264,54973.05892042643,0.024382705388947934,0.9995847421994745,59200
2025-06-10,23,54910.02637034748,-33.71229912309147,-0.024917135517626754,54920.17045200739,55652.257695200366,54379.87728493091,17791814.948189177,980571622245.9133,325108764384967.8,5919257047.096612,54945.47924024309,0.024432714316517733,0.9994878855485965,59900
2025-06-11,24,54875.69106786013,-34.26144380415383,-0.02566634349219054,54886.02669510206,55618.366788330866,54345.5126226173,17801736.30173371,980479447537.4893,324902522679212.3,5919241709.643586,54917.11853950878,0.024480815157417346,0.9993943669896829,59500
2025-06-12,25,54840.841885763075,-34.77148045636302,-0.02636034759480565,54851.33476588884,55583.92862950842,54310.64168980255,17811366.12248043,980359160165.0854,324693204279905.25,5919225733.639297,54888.00417992456,0.024527087351722543,0.9993043747647576,58300
2025-06-13,26,54805.51526440466,-35.2452200532837,-0.027003585703182745,54816.13307023405,55548.980732092954,54275.30097388124,17820694.705181003,980210953246.7584,324481025213181.0,5919209111.177058,54858.16388333068,0.024571605867401928,0.9992180460464007,57200
2025-06-16,27,54769.74514017926,-35.685152367180066,-0.027599933140114108,54780.457334107334,55513.55810230526,54239.524399311995,17829715.52490582,980035161695.2129,324266186730676.7,5919191835.592265,54827.625549152464,0.024614441646788544,0.9991354754386241,58100
