Date,Step,Close_pred,Change_pred,Return_pred,Open_pred,High_pred,Low_pred,Volume_pred,TradingValue_pred,MarketCap_pred,SharesOutstanding_pred,MA_20_pred,Volatility_20_pred,Close_MA20_Ratio_pred,Close_actual
2025-05-02,0,55433.363632859386,-45.704540996678205,-0.07614688877371473,55402.10338600724,56045.37629972148,54959.957340117326,14214177.610476347,774432162024.2471,328265067049307.94,5919624200.114692,55373.2757103278,0.022976885561453886,1.0009271430736233,54600
2025-05-07,1,55427.17781802295,-4.98075907848396,0.015304684415561383,55410.37901132175,56095.9213402466,54920.747070839876,15394128.77455178,843578851278.7456,328233592629102.2,5919615056.212823,55366.59649827767,0.022982194694182917,1.0009351972510714,54600
2025-05-08,2,55433.634149591075,6.114341165151533,0.037351382039819365,55422.18817240321,56123.83434906037,54915.18028010481,16171252.735225875,891633484226.5671,328268028594278.2,5919600352.499409,55360.54780980815,0.02303908138198179,1.0011774604430552,54800
2025-05-09,3,55440.60451558987,7.6242023292267795,0.04069981002509084,55432.138190873986,56144.44636007055,54916.18268844994,16667124.917049382,922518644211.5231,328311508141508.2,5919586009.415737,55355.123187257166,0.02311789299351334,1.0014180198697853,57600
2025-05-12,4,55447.19259224938,7.1656802791964544,0.04032100166026537,55441.48827807917,56160.53692394806,54919.35143571039,16983434.309561722,942151262889.717,328352331369911.3,5919572807.329061,55350.35949320473,0.023207927988873594,1.0016359182244128,56900
2025-05-13,5,55452.94273830118,6.147015441754874,0.038899227953169864,55449.636953740875,56172.85496124317,54922.9258787367,17185936.700954925,954660968460.191,328387139722458.0,5919560457.7274065,55346.11848238236,0.02330335495081879,1.0018263692797935,57400
2025-05-14,6,55457.511790936616,4.837738119542198,0.03695499200521826,55456.31647971782,56182.06213382176,54926.06141540978,17316306.319178075,962674679858.4362,328414185107151.0,5919548727.329027,55342.248435457754,0.02340049544833036,1.0019872681620623,57300
2025-05-15,7,55460.71141375391,3.389653145237297,0.034761625013279694,55461.393610856365,56188.651650160646,54928.288483237695,17400996.96018044,967847041913.3246,328432627793829.75,5919537431.97097,55338.60904300469,0.023497069541339483,1.0021186821762695,56800
2025-05-16,8,55462.47037333078,1.9020557548601786,0.03249405399616572,55464.83407833168,56192.98837804254,54929.36232059807,17456822.007676944,971222203112.2642,328442222502506.6,5919526422.649394,55335.07305293158,0.02359170635858644,1.0022221826693165,55800
2025-05-19,9,55462.78953199501,0.4346430179346008,0.030256862386503373,55466.66691544639,56195.35096777523,54929.17558401133,17494473.364913944,973460922214.6643,328443081836185.3,5919515579.32738,55331.52707311489,0.023683615678802852,1.0023001463236954,55900
2025-05-20,10,55461.71091967894,-0.9789365297631072,0.028108634843411244,55466.95668878193,56195.95903243122,54927.702822979714,17520744.61073582,974981860133.5332,328435520576754.44,5919504805.589436,55327.87178951074,0.023772374566611392,1.0023552844966708,55700
2025-05-21,11,55459.2986100068,-2.3211940942977627,0.02607942673377068,55465.78582638364,56194.9905117664,54924.96613421085,17539941.23198462,976050063632.6533,328419959007103.56,5919494023.923962,55324.0215361149,0.023857790199882736,1.0023903636495721,54700
2025-05-22,12,55455.62713363978,-3.584468244968619,0.024181977682130464,55463.24399945046,56192.59310402132,54921.01409089979,17554779.25601889,976832831347.5378,328396864057839.0,5919483171.865984,55319.9034406878,0.023939811988231533,1.0024080481664606,54200
2025-05-23,13,55450.77454538392,-4.766966056619729,0.02241874039017957,55459.421902272254,56188.89197360802,54915.90886345523,17566959.81988085,977435204807.772,328366714117411.5,5919472198.96291,55315.456352011744,0.02401847545344192,1.002410817955199,54700
2025-05-26,14,55444.81836889015,-5.87029520727517,0.02078626490613327,55454.40772638461,56183.99505377225,54909.71841359398,17577537.27239932,977922605860.462,328329978603264.75,5919461064.416496,55310.62968656815,0.024093866557270784,1.0024009311711797,53900
2025-05-27,15,55437.83332128806,-6.897931724726433,0.0192779166775029,55448.28528046228,56177.99676932581,54902.51184466007,17587155.187328808,978335307531.0677,328287106703916.94,5919449735.248296,55305.38227922036,0.02416609917594622,1.002380413706679,55900
2025-05-28,16,55429.89013295579,-7.854277269301228,0.01788554264917109,55441.133108405345,56170.98070665046,54894.356716589384,17596197.646757778,978697691377.865,328238521768006.25,5919438184.861621,55299.68128667871,0.02423530101082809,1.0023510640664524,56100
2025-05-29,17,55421.055033145385,-8.744088211801408,0.01660047366912005,55433.024203417895,56163.021572088735,54885.31757892319,17604886.091079924,979024166498.338,328184619116874.75,5919426391.902645,55293.501169435156,0.02430160489748942,1.002314466599892,56200
2025-05-30,18,55411.389632189734,-9.572138645214721,0.015414109730592603,55424.026067993276,56154.18666176166,54875.45525208928,17613341.17680075,979322947305.3219,328125765881055.7,5919414339.34843,55286.82276337549,0.024365143555993632,1.002272008788432,56200
