Date,Step,종가_pred,대비_pred,등락률_pred,시가_pred,고가_pred,저가_pred,거래량_pred,거래대금_pred,시가총액_pred,상장주식수_pred,종가_actual
2025-05-02,0,55722.82462087755,222.82462087755735,0.33158295644240954,55457.705495118535,56184.635733144554,55126.68450570952,13435598.625267945,731137334346.5278,329880943650665.44,5919775003.496698,54600.0
2025-05-07,1,55771.568357559125,48.743736681573566,0.0939220329790269,55710.253194729805,56351.69105821218,55224.48416121636,14848728.167809194,816753190786.8901,330154352221783.8,5919747255.138578,54600.0
2025-05-08,2,55812.085858091436,40.51750053231369,0.08390382130983132,55767.72124254695,56434.98880892654,55261.82189681113,15807423.973620519,876101362621.3193,330383117327643.1,5919719460.462582,54800.0
2025-05-09,3,55853.93574157992,41.849883488486896,0.08969382858348052,55813.24682212504,56498.392251293255,55295.94054484002,16460686.171445683,916823319917.9291,330624984968403.75,5919696254.66115,57600.0
2025-05-12,4,55896.61125878111,42.67551720118392,0.09351603113679507,55859.21795701172,56555.03593656956,55333.63311708985,16891741.63271761,944100577499.2833,330874444938830.06,5919679923.170533,56900.0
2025-05-13,5,55939.70639808669,43.09513930558448,0.0957981090421054,55904.66895088912,56607.33208589349,55373.45262554884,17173131.131267264,962271098927.1365,331128150027458.5,5919668440.982115,57400.0
2025-05-14,6,55982.926044379594,43.21964629291885,0.09706820611222544,55949.628836584176,56656.68193747966,55414.4728774385,17356162.122745417,974429623386.4064,331383796331619.6,5919660399.02214,57300.0
2025-05-15,7,56026.091572598314,43.165528218729534,0.0977069270679165,55994.138755038184,56703.977833444726,55456.1459302287,17474761.907261115,982636758197.3962,331639924867309.44,5919654909.956606,56800.0
2025-05-16,8,56069.09507951307,43.00350691477426,0.09794852929348008,56038.223542179185,56749.80096364341,55498.122171949144,17551195.066698693,988249896293.9498,331895629160841.2,5919651398.116076,55800.0
2025-05-19,9,56111.86982191527,42.77474240220265,0.09793707631242698,56081.90426736876,56794.53574964615,55540.17577926667,17600057.597636323,992161382188.3151,332150339444977.2,5919649487.519269,55900.0
2025-05-20,10,56154.37447688248,42.504654967212375,0.09776393478368162,56125.19770627445,56838.43671403275,55582.16067372147,17630910.66491933,994957061405.6257,332403697217910.25,5919648930.467433,55700.0
2025-05-21,11,56196.58381027711,42.20933339464197,0.0974877631206561,56168.11689292306,56881.67240527693,55623.98270450276,17650012.598308723,997021112757.2981,332655478730309.0,5919649561.759937,54700.0
2025-05-22,12,56238.48284270769,41.89903243059227,0.09714636336613158,56210.67201329809,56924.35466421723,55665.58162455677,17661456.989448182,998605220087.2878,332905546645041.5,5919651269.411352,54200.0
2025-05-23,13,56280.06315058944,41.58030788174112,0.09676414132223599,56252.87117758293,56966.55801469693,55706.91931552248,17667919.85664985,999874133639.2356,333153819172650.3,5919653975.859546,54700.0
2025-05-26,14,56321.32050856595,41.25735797651275,0.09635687348203015,56294.72101899239,57008.33246129779,55747.97209222085,17671149.632065475,1000935628475.0435,333400250281484.44,5919657625.871481,53900.0
2025-05-27,15,56362.253381504706,40.932872938759076,0.09593476645537846,56336.227135284134,57049.71191471664,55788.7256763479,17672288.166598752,1001860173366.469,333644816972964.3,5919662178.741551,55900.0
2025-05-28,16,56402.86195698002,40.608575475306836,0.09550442555141125,56377.39440398583,57090.71972846085,55829.1719148917,17672080.850470528,1002693827939.4843,333887511080771.1,5919667603.249029,56100.0
2025-05-29,17,56443.147522904175,40.285565924159684,0.09507012421359962,56418.2272026212,57131.372332084946,55869.30663823219,17671014.056725513,1003466690855.0237,334128333975336.25,5919673874.393381,56200.0
2025-05-30,18,56483.11206631446,39.96454341029941,0.09463462417401458,56458.72956022329,57171.68161265852,55909.12826242235,17669404.994819004,1004198429148.2964,334367293138914.5,5919680971.277555,56800.0
2025-06-02,19,56522.75801428518,39.645947970727704,0.09419970619768248,56498.9052604286,57211.65647433413,55948.636877276454,17667460.42545018,1004901894754.7749,334604399947673.06,5919688875.7338,57800.0
2025-06-04,20,56562.08806640435,39.33005211916763,0.09376651400763913,56538.7579110686,57251.30385895017,55987.83365153541,17665315.013471384,1005585488648.5465,334839668234054.3,5919697571.4304695,59100.0
2025-06-05,21,56601.10508636414,39.01701995979822,0.09333577739956533,56578.290990885056,57290.62941356856,56026.72044494941,17663056.37263996,1006254705603.5947,335073113354313.6,5919707043.290769,59800.0
2025-06-09,22,56639.812031781665,38.70694541752452,0.09290795711756417,56617.50788077759,57329.63792691949,56065.299555371916,17660741.41597611,1006913143197.8328,335304751583539.6,5919717277.114006,59200.0
2025-06-10,23,56678.211908779216,38.3998769975539,0.09248333899761985,56656.41188467047,57368.33361469034,56103.5735539377,17658407.02785365,1007563160678.3917,335534599723184.7,5919728259.328421,59900.0
2025-06-11,24,56716.307742618745,38.09583383953343,0.09206209518252062,56695.0062434522,57406.72030599862,56141.5451777029,17656077.028650023,1008206309088.2909,335762674846615.44,5919739976.829564,59500.0
2025-06-12,25,56754.102558755716,37.794816136978326,0.09164432394531574,56733.2941443127,57444.80156529407,56179.21725976743,17653766.71928075,1008843612011.1609,335988994134364.1,5919752416.87434,58300.0
2025-06-13,26,56791.59937066003,37.496811904309126,0.09123007560689955,56771.2787270332,57482.58077208178,56216.59268384513,17651485.846234497,1009475748785.1816,336213574767708.25,5919765567.011274,57200.0
2025-06-16,27,56828.801172034655,37.201801374625504,0.09081936940900803,56808.96308826315,57520.06117310111,56253.674354778464,17649240.535892658,1010103174053.2158,336436433860193.8,5919779415.034381,58100.0
2025-06-17,28,56865.710931892914,36.90975985826883,0.09041220450114396,56846.35028447032,57557.24591652065,56290.46517945119,17647034.556330074,1010726195763.4702,336657588413847.5,5919793948.952403,59800.0
