Label,Train_start,Train_days,MSE,RMSE,R2,MAE
1년 학습,2024-04-30,243,40680823.27,6378.15,0.9855,4062.23
2년 학습,2023-04-30,487,35257492.33,5937.8,0.9874,3792.18
3년 학습,2022-04-30,735,31475059.43,5610.26,0.9888,3534.76
4년 학습,2021-04-30,963,30416419.69,5515.11,0.9891,3372.18
