Date,Step,종가_pred,대비_pred,등락률_pred,시가_pred,고가_pred,저가_pred,거래량_pred,거래대금_pred,시가총액_pred,상장주식수_pred,종가_actual
2025-05-02,0,55799.5241664927,299.5241664927082,0.4495732831289362,55444.299243290625,56251.31348704972,55120.74735360393,13187419.473596571,722332395379.2614,330401173299329.5,5920049171.720794,54600.0
2025-05-07,1,55842.21751868236,42.69335218966536,0.08884879074031668,55761.470291758,56416.25289321139,55280.38449655211,14580391.658566996,804084794934.7172,330610632471066.25,5920061181.214191,54600.0
2025-05-08,2,55871.29302875232,29.075510069961652,0.06723079395541362,55817.94800502931,56493.757211082106,55309.924218266715,15682747.22083078,871984617780.8333,330764348656097.75,5920050469.611737,54800.0
2025-05-09,3,55903.68267040212,32.38964164980827,0.07570847681203693,55857.89772613951,56548.656905681826,55338.64419278953,16402282.18532972,915934597765.2979,330947430271652.9,5920035141.414761,57600.0
2025-05-12,4,55941.27897972675,37.59630932462939,0.08632926408841332,55899.009026982996,56599.10940759259,55372.82074398438,16853394.8609209,943668350790.2041,331165627617057.4,5920026768.434794,56900.0
2025-05-13,5,55982.38396240701,41.10498268027142,0.09337709715251727,55942.42653139979,56648.08414953132,55411.83101143365,17130587.198141374,960997217485.8944,331407190521814.44,5920024042.808263,57400.0
2025-05-14,6,56025.5501519442,43.166189537199,0.09759780319036201,55987.228604194104,56696.23194795605,55453.67009714423,17300368.395752907,971936159383.6682,331662621852978.0,5920025247.498747,57300.0
2025-05-15,7,56069.81952347311,44.26937152891834,0.09997633665188074,56032.76130119411,56743.765623159365,55497.07432176648,17404252.569738455,978972814765.4445,331925658632429.9,5920029264.51091,56800.0
2025-05-16,8,56114.606014877565,44.78649140446511,0.1012229768507121,56078.575641576026,56790.76665211929,55541.26828609195,17467651.115907043,983619815386.738,332192444247230.06,5920035388.096122,55800.0
2025-05-19,9,56159.55175378401,44.94573890646508,0.10177413709031921,56124.398694817675,56837.27897644149,55585.78470401001,17506134.922376797,986798678431.3739,332460614031904.75,5920043170.959262,55900.0
