Label,Train_start,Train_days,MSE,RMSE,R2,MAE
Case1 (1Y Train: 2024-04~2025-04),2024-04-30,243,42392832.48,6510.98,0.9849,4145.39
Case2 (2Y Train: 2023-04~2025-04),2023-04-30,487,35893969.91,5991.16,0.9872,3820.4
Case3 (3Y Train: 2022-04~2025-04),2022-04-30,735,32322597.73,5685.3,0.9885,3574.44
Case4 (4Y Train: 2021-04~2025-04),2021-04-30,982,30855637.06,5554.79,0.989,3397.86
